Name,State,Zip,Street,City,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Student-to-faculty ratio,Phone
Atlantic Institute of Oriental Medicine,,,,,www.atom.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degreeDoctor's degree,City: Midsize,No,174 (69 undergraduate),6 to 1,(954) 763-9840 x203

ATA College-Cincinnati,,,,,www.ata.edu/,"2-year, Private for-profit",One but less than two years certificateAssociate's degree,Suburb: Large,No,231 (all undergraduate),10 to 1,(513) 671-1920

Automeca Technical College-Aguadilla,Puerto Rico,00605,Parque Industrial La Montana Km09 Edif932, Aguadilla,www.automeca.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,192 (all undergraduate),13 to 1,(787) 882-2828

Aveda Arts & Sciences Institute-Covington,Louisiana,70433,1355 Polders Lane, Covington,avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Small,No,"2,337 (all undergraduate)",15 to 1,(985) 892-3826 x1224

Auguste Escoffier School of Culinary Arts-Austin,Texas,78752,6020-B Dillard Circle, Austin,www.escoffier.edu/,"2-year, Private for-profit",Less than one year certificateAssociate's degree,City: Large,No,610 (all undergraduate),23 to 1,(512) 451-5743

Aveda Institute-Los Angeles,California,90024-2808,10935 Weyburn Avenue, Los Angeles,www.nurturavedainstitutes.com/los-angeles/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,140 (all undergraduate),7 to 1,(310) 209-2000

Aveda Arts & Sciences Institute-San Antonio,Texas,78259-2792,21003 Encino Commons Ste 121, San Antonio,avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,362 (all undergraduate),15 to 1,(985) 415-7569

Automeca Technical College-Caguas,Puerto Rico,00725,Calle Munoz Rivera No.69, Caguas,www.automeca.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,104 (all undergraduate),13 to 1,(787) 746-3468

Aveda Institute-Maryland,Maryland,21014-3639,227 Archer St, Bel Air,avedainstitutemd.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Midsize,No,135 (all undergraduate),15 to 1,(410) 838-0845 x10

Aultman College of Nursing and Health Sciences,Ohio,44710-1797,2600 6th St SW, Canton,www.aultmancollege.edu/,"4-year, primarily associate's, Private not-for-profit",Less than one year certificateAssociate's degreeBachelor's degree,City: Small,No,355 (all undergraduate),9 to 1,(330) 363-6347

Aveda Institute-Portland,Oregon,97209-3144,325 Northwest 13th Avenue, Portland,avedapdx.com/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,City: Large,No,287 (all undergraduate),18 to 1,(503) 294-6000 x382

Aviation Institute of Maintenance-Atlanta,Georgia,30096,2025 Satellite Pointe, Duluth,www.aviationmaintenance.edu/campuses/duluth-ga/index.html,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Suburb: Large,No,870 (all undergraduate),14 to 1,(678) 377-5600

Aveda Fredric's Institute-Indianapolis,Indiana,46250,6020 E 82nd St, Indianapolis,www.avedafi.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,288 (all undergraduate),11 to 1,(513) 533-0700

Aveda Institute-New Mexico,New Mexico,87104-1160,1816 Central Ave SW, Albuquerque,www.avedanm.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,80 (all undergraduate),20 to 1,(505) 294-5333 x366

Automotive Training Center-Exton,Pennsylvania,19341-1310,114 Pickering Way, Exton,www.autotraining.edu/,"2-year, Private for-profit",One but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,321 (all undergraduate),24 to 1,(610) 363-6716

Aveda Institute-South Florida,Florida,33328,4186 S. University Drive, Davie,www.beaveda.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,506 (all undergraduate),16 to 1,(727) 460-4883

Aviation Institute of Maintenance-Dallas,Texas,75061,400 E. Airport Freeway, Irving,www.aviationmaintenance.edu/campuses/dallas-tx/,"2-year, Private for-profit",Two but less than 4 years certificate,City: Midsize,No,567 (all undergraduate),15 to 1,(214) 333-9711

Award Beauty School,Maryland,21740-5610,26 E Antietam St, Hagerstown,www.awardbeautyschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,102 (all undergraduate),20 to 1,(301) 459-2509 x13

Aveda Institute-Phoenix,Arizona,85284,8475 S Emerald Drive, Tempe,avedainspiregreatness.com/phoenix-campus/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,127 (all undergraduate),14 to 1,(480) 593-2944

Aveda Institute-Tucson,Arizona,85701,145 S 6th Avenue, Tucson,www.avedainstitutetucson.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,215 (all undergraduate),17 to 1,(520) 207-3696

Aviation Institute of Maintenance-Houston,Texas,77061,7651 Airport Blvd., Houston,www.aviationmaintenance.edu/campuses/houston-tx/index.html,"2-year, Private for-profit",Two but less than 4 years certificate,City: Large,No,237 (all undergraduate),9 to 1,(713) 644-7777

Baker College of Cadillac,Michigan,49601-9600,9600 E 13th St, Cadillac,www.baker.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificate,Town: Remote,Yes,,,(231) 876-3101

"Avenue Academy, A Cosmetology Institute",New Mexico,87112-3449,1512 Eubank Boulevard, Albuquerque,www.theavenueacademy.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,78 (all undergraduate),"16 to 1View noteAccording to New Mexico Board of Barbers and Cosmetology regulations, educator to student ratio is one educator per 20 students enrolled. The Avenue Academy has seen an increase in enrollment but has maintained it's state mandated educator to student ratios.",(505) 293-7511

Azusa Pacific University,California,91702-7000,901 E Alosta, Azusa,www.apu.edu/,"4-year, Private not-for-profit",Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Large,Yes,"9,006 (4,498 undergraduate)",10 to 1,(626) 969-3434

Baker College of Muskegon,Michigan,49442-1290,1903 Marquette Ave, Muskegon,www.baker.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificate,City: Small,Yes,,,(231) 777-8800

Aviation Institute of Maintenance-Kansas City,Missouri,64129,4100 Raytown Road, Kansas City,www.aviationmaintenance.edu/campuses/kansas-city-mo/index.html,"2-year, Private for-profit",One but less than two years certificateTwo but less than 4 years certificate,City: Large,No,173 (all undergraduate),10 to 1,(816) 753-9920

Baker College of Port Huron,Michigan,48060-1290,3403 Lapeer Road, Port Huron,www.baker.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,Suburb: Small,Yes,,,(810) 985-7000

Avenue Five Institute-South Austin Campus,Texas,78704-3259,500 E Ben White Boulevard Bld E Ste 100, Austin,www.avenuefive.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Large,No,109 (all undergraduate),14 to 1,(512) 968-2835

Babson College,Massachusetts,02457-0310,231 Forest Street, Wellesley,www.babson.edu/,"4-year, Private not-for-profit",Bachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Large,Yes,"3,340 (2,457 undergraduate)",14 to 1,(781) 235-1200

Aviation Institute of Maintenance-Manassas,Virginia,20109,10640 Davidson Place, Manassas,www.aviationmaintenance.edu/campuses/washington-dc-va/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,181 (all undergraduate),11 to 1,(703) 257-5515

Avera Sacred Heart Hospital,South Dakota,57078-3899,501 Summit, Yankton,www.averasacredheart.org/,"2-year, Private not-for-profit",Two but less than 4 years certificate,Town: Remote,No,16 (all undergraduate),11 to 1,(605) 668-8158

Bais Binyomin Academy,New York,10952,51 Carlton Road, Monsey,baisbinyominacademy.com/,"4-year, Private not-for-profit",Bachelor's degree,Suburb: Large,No,35 (all undergraduate),6 to 1,(845) 207-0330

Averett University-Non-Traditional Programs,Virginia,24541,420 W Main St, Danville,gps.averett.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreeMaster's degreePost-master's certificate,Town: Distant,No,472 (196 undergraduate),9 to 1,(800) 448-5233

Aviation Institute of Maintenance-Orlando,Florida,32707,2725 South US Highway 17/92, Casselberry,www.aviationmaintenance.edu/campuses/orlando-fl/,"2-year, Private for-profit",One but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,248 (all undergraduate),16 to 1,(407) 896-2800

Bais Medrash Elyon,New York,10952,73 Main Street, Monsey,baismedroshelyon.com/,"4-year, Private not-for-profit",Bachelor's degree,Suburb: Large,Yes,91 (28 undergraduate),23 to 1,(845) 356-7065

Avi Career Training,Virginia,22066,10130-a Colvin Run Rd, Great Falls,www.avicareertraining.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,36 (all undergraduate),7 to 1,(703) 759-2200

Aviator College of Aeronautical Science & Technology -  Kissimmee,Florida,34741-4620,606 Dyer Boulevard, Kissimmee,www.aviatoramt.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,,,(772) 466-4822

Bais Medrash of Dexter Park,New York,10977,445 South Pascack Road, Chestnut Ridge,bmdpark.com/,"4-year, primarily associate's, Private not-for-profit",Associate's degreeBachelor's degree,Suburb: Large,No,68 (all undergraduate),11 to 1,(845) 735-2807

Avila University,Missouri,64145-1698,11901 Wornall Rd, Kansas City,www.avila.edu/,"4-year, Private not-for-profit",Bachelor's degreePostbaccalaureate certificateMaster's degree,City: Large,Yes,"1,414 (1,058 undergraduate)",12 to 1,(816) 942-8400

Baker College,Michigan,48867,1020 S Washington St, Owosso,www.baker.edu/,"4-year, Private not-for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,Town: Distant,Yes,"6,028 (5,680 undergraduate)",8 to 1,(989) 729-3500

Baker College of Auburn Hills,Michigan,48326-9600,1500 University Drive, Auburn Hills,www.baker.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificate,Suburb: Large,No,,,(248) 340-0600

